Country,Score,Constitution (sexual orientation) (Description),Employment (sexual orientation) (Description),Goods & services (sexual orientation) (),Education (sexual orientation) (),Health (sexual orientation) (),Equality body mandate (sexual orientation) (),Equality action plan (sexual orientation) (),Constitution (gender identity) (),Employment (gender identity) (),Goods & services (gender identity) (),Education (gender identity) (),Health (gender identity) (),Equality body mandate (gender identity) (),Equality action plan (gender identity) (),Law (gender expression) (),Law (intersex) (red category) (),Policies (intersex) (),Marriage equality (),Registered partnership (similar rights to marriage) (),Registered partnership (limited rights) (),Cohabitation (),No constitutional limitation on marriage (),Joint adoption (),Second-parent adoption (),Automatic co-parent recognition (),Medically assisted insemination (couples) (),Medically assisted insemination (singles) (),Trans people can marry a person of another gender (),Hate crime law (sexual orientation) (),Hate speech law (sexual orientation) (),Policy tackling hatred (sexual orientation) (),Hate crime law (gender identity) (),Hate speech law (gender identity) (),Policy tackling hatred (gender identity) (),Hate crime law (intersex) (),Policy tackling hatred (intersex) (),Existence of legal measures (),Existence of administrative procedures (),Name change (),No Gender Identity Disorder diagnosis/psychological opinion required (),No compulsory medical intervention required (),No compulsory surgical intervention required (),No compulsory sterilisation required (),No compulsory divorce required (),No age restriction (),Prohibition of medical intervention before child is able to informed consent (intersex) (),"Public event held, no state obstruction of freedom of assembly (3 years) ()","Associations operate, no state obstruction of freedom association (last 3 years) ()",No laws limiting freedom of expression (national/local) (),Law (sexual orientation) (),Policy/other positive measures (sexual orientation) (),Law (gender identity) (),Policy/other positive measures (gender identity) (),Law (intersex) (),Policy/other positive measures (intersex) ()
Albania,33, ,x,x,x, ,x,x, ,x,x,x, ,x,x, , , , , , , ,x, , , , , , ,x,x, ,x,x, , , , , , , , , , , , , ,x,x,x, , , , , , 
Andorra,35,x,x,x, , ,x, , , , , , ,x, , , ,x, ,x,x, ,x,x,x, , , , ,x, , , , , , , , , , , , , , , , , ,x,x,x, , , , , , 
Armenia,7, , , , , , , , , , , , , , , , , , , , , , , , , , ,x,x, , , , , , , , , , , , , , , , , , , ,x,x, , , , , , 
Austria,56,x,x,o,o,o,x, ,x,x,x, , ,x, , , , , ,x, ,x,x,x,x,x,x, ,x,x,x, , , , , , , ,x,x, ,x,x,x,x, , ,x,x,x,x, ,x,x, , 
Azerbaijan,5, , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , , , , , ,x, , , , , , , , , ,x, , , , , , 
Belarus,13, , , , , , , , , , , , , , , , , , , , , , , , , , ,x,x, , , , , , , , ,x,x,x, ,x,x,x, , , , , ,x, , , , , , 
Belgium,79, ,x,x,x,x,x, , ,x,x,x,x,x, ,x,x, ,x, ,x,x,x,x,x,x,x,x,x,x,x,x, ,x, ,x, ,x,x,x,x,x,x,x,x, , ,x,x,x,x,x,x,x,x, 
Bosnia and Herzegovina,31, ,x,x,x,x,x, , ,x,x,x,x,x, , ,x, , , , , ,x, , , , , ,x,x,o, ,x,o, , , ,x,x,x, , , , , , , , ,x,x, , , , , , 
Bulgaria,24, ,x,x,x,x,x, , ,x,x,x,x,x, , , , , , , , , , , , , ,x,x, , , , , , , , ,x, ,x, , ,x, , , , ,x,x,x, , , , , , 
Croatia,51, ,x,x,x,x,x, , ,x,x,x,x,x, ,x, , , ,x, ,x, , , , , ,x,x,x,x, ,x,x, , , ,x,x,x, , ,x,x, , , ,x,x,x,x, ,x, , , 
Cyprus,29, ,x, , , ,x, , , , , , , , , , , , ,x, , ,x, , , , ,x,x, ,x, , ,x, , , , , , , , , , , , , ,x,x,x,x, , , , , 
Czech Republic,29, ,x,x,x,x,x, , ,x,x,x,x,x, , , , , , ,x,x,x, , , , , ,x, , , , , , , , ,x,x,x, , , , , , , ,x,x,x, , , , , , 
Denmark,68, ,x,x,x, ,x, , ,x,x, , ,x, ,x, , ,x, , ,x,x,x,x,x,x,x,x,x,x,x, , ,x, , ,x,x,x,x,x,x,x,x, , ,x,x,x, ,x, ,x, , 
Estonia,39,x,x, ,x, ,x,x, ,x,x,x,x,x, , , , , , ,x, ,x, ,x, , ,x,x, ,x, , , , , , ,x,x,x, , ,x,x,x, , ,x,x,x, , , , , , 
Finland,73,x,x,x,x,x,x,x, ,x,x,x,x,x,x,x,x, ,x,x, ,x,x,x,x, ,x,x,x,x,x, ,x,x, , , ,x,x,x, , ,x, ,x, , ,x,x,x,x,x,x,x, , 
France,73, ,x,x,x,x,x,x, ,x,x,x,x,x,x, , , ,x, ,x,x,x,x,x, , , ,x,x,x,x,x,x,x, , ,x,x,x,x,x,x,x,x, , ,x,x,x,x, , ,x, , 
Macedonia,, , ,x,x,x, , , , , , , , , , , , , , , , ,x, , , , , , , , , , , , , , , , ,x, , , , , , , ,x,x,x, , , , , , 
Georgia,26, ,x,x,x,x,x, , ,x,x,x,x,x, , , , , , , , , , , , , ,x,x,x, , ,x, , , , , ,x,x, , , , ,x, , , ,x,x, , , , , , 
Germany,59,o,x,x,x,x,x,o,o,x,x,x,x,x,o, ,x, ,x,x, ,x,x,x,x, , , ,x, , ,o, , ,o, , ,x,x,x, ,x,x,x,x, , ,x,x,x,x,x,x,x, , 
Greece,52, ,x, , , ,x, , ,x, , , ,x, , ,x, , ,x, ,x,x, , , , ,x,x,x,x, ,x,x,x,x, ,x,x,x,x,x,x,x, , , ,x, ,x,x, ,x, , , 
Hungary,47, ,x,x,x,x,x, , ,x,x,x,x,x, , , , , ,x, ,x, , , , , ,x,x,x,x, ,x,x, , , ,x,x, , , ,x,x, , , ,x,x,x,x, , ,x, , 
Iceland,47, ,x,x,x, , , , ,x,x, , , , , ,x, ,x, , , ,x,x,x, ,x,x,x, ,x, , ,x, , , ,x,x, , , ,x,x,x, , ,x,x,x, , , , , , 
Ireland,52, ,x,x,x,x,x, , , , , , , , , , , ,x,x, ,x,x,x, ,x,x,x,x, ,x, , , , , , ,x,x,x,x,x,x,x,x, , ,x,x,x,x, , , , , 
Italy,27, ,x, , , , , , , , , , , , , , , , ,x, , , , , , , , ,x, , , , , , , , ,x,x, , , ,x,x, , , ,x,x,x,x, ,x, , , 
Kosovo,33,x,x,x,x,x,x,x, ,x,x,x,x,x,x, ,x, , , , , ,x, , , , , , ,x, , , , , , , , , , , , , , , , , ,x,x,x,x, ,x, , , 
Latvia,16, ,x, , , ,x, , , , , , , , , , , , , , , , , , , , ,x,x, , , , , , , , ,x, ,x, , , , , , , ,x,x,x,x, ,x, , , 
Liechtenstein,18, , , , , , , , , , , , , , , , , , ,x, , ,x, , , , , , , , , , , , , , , , , , , , , , , , , ,x,x,x, ,x, , , 
Lithuania,21, ,x,x,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x,x,x, , , , , , , , , , , ,x,x, , , ,x,x, , ,x, , , , 
Luxembourg,47, ,x,x,x,x,x, , ,x, , , ,x, , , , ,x,x, , ,x,x,x, ,x,x,x,x,x, , , , , , , , ,x, , , , ,x, , ,x,x,x,x, , , , , 
Malta,91,x,x, ,x,x,x,x,x,x, ,x, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x, ,x, , , 
Moldova,13, ,x, , , ,x, , , , , , , , , , , , , , , , , , , , ,x,x, , , , , , , , , , ,x, ,x,x,x, , , , ,x, ,x, , , , , 
Monaco,10, , , , , , , , , , , , , , , , , , , , , ,x, , , , , , , ,x, , , , , , , , , , , , , , , , , ,x,x, , , , , , 
Montenegro,38, ,x,x,x,x,x,x, ,x,x,x,x,x,x,x, , , , , , , , , , , ,x,x,x,x, ,x,x, , , ,x,x, , , , , , , , , ,x,x, , , , , , 
Netherlands,60, ,x,x,x, ,x,x, , , , , , ,x, , , ,x,x, ,x,x,x,x,x,x,x,x, ,x, , , , , , ,x,x,x, ,x,x,x,x, , ,x,x,x,x,x,x,x, , 
Norway,78, ,x,x,x,x,x,x, ,x,x,x,x,x,x,x,x,x,x, , ,x,x,x,x,x,x, ,x,x,x, , , , , , ,x,x,x,x,x,x,x,x, , ,x,x,x,x,x,x,x,x, 
Poland,18, ,x, , , ,x, , , , , , , , , , , , , , , , , , , , ,x,x, , , , , , , , ,x,x,x, , , ,x, , , ,x,x,x,x, , , , , 
Portugal,69,x,x, ,x, ,x,x, ,x, ,x, ,x,x, , , ,x,x, ,x,x,x,x,x,x,x,x,x,x, ,x,x, , , ,x,x,x, ,x,x,x,x, , ,x,x,x,x, ,x, , , 
Romania,21, ,x,x,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x,x, , , , , , , ,x,x,x, , , , , , , ,x,x,x,x, , , , , 
Russia,11, , , , , , , , , , , , , , , , , , , , , ,x, , , , ,x,x, , , , , , , , ,x,x,x, , ,x,x, , , , , , , , , , , , 
San Marino,12, , , , , , , , , , , , , , , , , , , , , ,x, , , , , , ,x,x, , , , , , , , , , , , , , , , , ,x,x, , , , , , 
Republic of Serbia,30, ,x,x,x, ,x,x, ,x,x,x, ,x,x, , , , , , , , , , , , , ,x,x,x, ,x, , , , , , , , , , , , , , ,x,x,x, , , , , , 
Slovakia,29, ,x,x,x,x,x, , ,x,x,x,x,x, , , , , , , , , , , , , , ,x,x,x, , , , , , ,x,x,x, , , , , , , ,x,x,x,x, , , , , 
Slovenia,48,x,x,x,x,x,x, , ,x,x,x,x,x, ,x, , , ,x,x,x,x, ,x, , , ,x, ,x, , , , , , , ,x,x, , ,x,x,x, , ,x,x,x,x, ,x, , , 
Spain,67, ,x,o,x,x, ,o, ,o,o,x,x, ,o,o,o, ,x,o,o,o,x,x,x,x,x,x,x,x,x,o,x,x,o,o, ,x,x,x,o,o,x,x,x,o,o,x,x,x,x, ,x, ,x,o
Sweden,60,x,x,x,x,x,x, , ,x,x,x,x,x, ,x, , ,x, , ,x,x,x,x, ,x,x,x,x,x, ,x, , , , ,x,x,x, , ,x,x,x, , ,x,x,x,x, , , , , 
Switzerland,38,x,x, ,x,x, , , ,x, , , , , , , , , ,x, ,x,x, ,x, , , ,x, , , , , , , , ,x,x,x, , ,x,x,x, , ,x,x,x, ,x, ,x, , 
Turkey,9, , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , , , ,x, ,x, , , , , , , , ,x,x, , , , , , 
Ukraine,21, ,x, , , , ,x, ,x, , , , ,x, , , , , , , , , , , , ,x,x, , , , , , , , ,x,x,x, , , ,x,x, , , ,x,x, , , , , , 
United Kingdom,73,x,x,x,x,x,x,x,x,x,x,x,x,x,x, , , ,o,x, ,x,x,x,x,x,x,x,x,x,x,o,o,o,o,o, ,x,x,x, ,x,x,x,o, , ,x,x,x,x,x, ,x, , 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,