id,location,lat,lon,deads,country,more
1,Deir Ez-Zor: Sa'alu,35.141173,40.363297,1,Syria,Deir Ez-Zor: Sa'alu
2,Darkoush,35.9916361,36.3938856,0,Syria,Darkoush
3,Tall Afar,36.375659,42.451536,109,Iraq,Tall Afar
4,Madan - Al Akershi road,35.789685,39.36723,4,Syria,Madan - Al Akershi road
5,Tall Tamr,36.65556,40.37079,1,Syria,Tall Tamr
6,Al Hamam,35.90036,38.74763,3,Syria,Al Hamam
7,Sawran,36.26343,37.37414,3,Syria,Sawran
8,Ar Raqqah: al Bayatra,35.951121,39.011357,1,Syria,Ar Raqqah: al Bayatra
9,Ar Raqqah: Al Bayatra,35.9475,39.010833,2,Syria,Ar Raqqah: Al Bayatra
10,Mosul: junction of Al Farouq and Al Makkawi streets,36.345194,43.12475,2,Iraq,Mosul: junction of Al Farouq and Al Makkawi streets
11,Sawa,35.53226,39.96322,5,Syria,Sawa
12,Kasrat Mohhamed Ali,35.883889,39.023333,1,Syria,Kasrat Mohhamed Ali
13,Mosul: Rifae,36.3558497,43.0937862,13,Iraq,Mosul: Rifae
14,Ar Raqqah: National Hospital and vicinity of the Naim roundabout and Al-Amasi Street ,35.95447,39.009392,2,Syria,Ar Raqqah: National Hospital and vicinity of the Naim roundabout and Al-Amasi Street 
15,Bokrus Tahtani,35.07028,40.41959,2,Syria,Bokrus Tahtani
16,Al Salhiya [exact location],34.7251951,40.7404912,2,Syria,Al Salhiya [exact location]
17,Mosul: New Bab/ Farouk,36.3431411,43.1257262,55,Iraq,Mosul: New Bab/ Farouk
18,Mosul: Rifai,36.3558497,43.0937862,53,Iraq,Mosul: Rifai
19,Ar Raqqah: Feb 23 Street,35.950056,39.019892,1,Syria,Ar Raqqah: Feb 23 Street
20,Al Hammadi,35.99523,41.138306,2,Syria,Al Hammadi
21,Al Dasheisha,35.7858464,40.8256812,19,Syria,Al Dasheisha
22,Mosul: West ,36.336843,43.117979,5,Iraq,Mosul: West 
23,Adnaniya,36.015556,38.885556,1,Syria,Adnaniya
24,Tabaqah: al Thani,35.846667,38.543889,9,Syria,Tabaqah: al Thani
25,Al Bu A'ssi ,35.78392,38.32796,2,Syria,Al Bu A'ssi 
26,"Shanina (and al Rihat, Ba’as and Abu Hassan)",36.0089089,39.0964794,7,Syria,"Shanina (and al Rihat, Ba’as and Abu Hassan)"
27,Tabaqah: Multiple locations,35.8295049,38.5360909,5,Syria,Tabaqah: Multiple locations
28,Sarmada,36.18553,36.72231,7,Syria,Sarmada
29,Ayyash,35.42022,40.05303,1,Syria,Ayyash
30,Mosul: Dajah,36.34075,43.126911,12,Iraq,Mosul: Dajah
31,Mosul: Zanjili,36.3502851,43.1098795,144,Iraq,Mosul: Zanjili
32,Tabiyeh Shamieh,35.2508364,40.2988037,5,Syria,Tabiyeh Shamieh
33,Umm Hfour,36.191,40.61207,4,Syria,Umm Hfour
34,Tikrit,34.5898131,43.6816651,12,Iraq,Tikrit
35,Al Shmeitiya,35.471226,39.935818,2,Syria,Al Shmeitiya
36,Mosul: Al-Darkazliyah,36.3556423,43.1564856,2,Iraq,Mosul: Al-Darkazliyah
37,Mosul: Al Saaha,36.34075,43.126911,6,Iraq,Mosul: Al Saaha
38,Mosul: Yarmouk,36.336804,43.083396,60,Iraq,Mosul: Yarmouk
39,Al Sa'ada,35.6627357,40.7212543,3,Syria,Al Sa'ada
40,Ar Raqqah: Al Dar'ia,35.947222,38.991389,3,Syria,Ar Raqqah: Al Dar'ia
41,Ziban,35.0108763,40.5045318,4,Syria,Ziban
42,Ar Raqqah: Qitar street,35.9505639,39.0094148,7,Syria,Ar Raqqah: Qitar street
43,Sweidah Sagheer,35.9208912,38.5709381,17,Syria,Sweidah Sagheer
44,Mosul: Matahin,36.336294,43.092985,3,Iraq,Mosul: Matahin
45,Road from Al Mayadin to Damascus,34.634488,38.589772,1,Syria,Road from Al Mayadin to Damascus
46,Al Hawl,36.390223,41.149297,45,Syria,Al Hawl
47,"Ar Raqqah: Bajari, old town",35.948056,39.015,1,Syria,"Ar Raqqah: Bajari, old town"
48,Mosul: Al-Jawsaq,36.3280482,43.1503701,15,Iraq,Mosul: Al-Jawsaq
49,Ar Raqqah: Al Akrad,35.9630019,39.0146828,1,Syria,Ar Raqqah: Al Akrad
50,Ar Raqqah: Al Jisr al Jadid,35.9320812,38.9918947,5,Syria,Ar Raqqah: Al Jisr al Jadid
51,Telul al-Baj,35.4153809,43.1128084,2,Iraq,Telul al-Baj
52,Mosul: Baweiza,36.34585235,43.09857692,1,Iraq,Mosul: Baweiza
53,"Ar Raqqah: Wahda, Nahda and Bedu areas",35.959563,39.002259,14,Syria,"Ar Raqqah: Wahda, Nahda and Bedu areas"
54,Mosul: Itkisadeen/ Economist,36.3615868,43.085289,1,Iraq,Mosul: Itkisadeen/ Economist
55,Mosul: Old City neighbourhoods,36.34075,43.126911,31,Iraq,Mosul: Old City neighbourhoods
56,Mosul: Al Jadida,36.3323266,43.1050515,8,Iraq,Mosul: Al Jadida
57,Ar Raqqah: mosque al-Ansar,35.959732,39.001634,1,Syria,Ar Raqqah: mosque al-Ansar
58,Aski Mosul,36.5141719,42.7367306,2,Iraq,Aski Mosul
59,Mosul: al-Saha and al-Sham gate,36.349444,43.100833,30,Iraq,Mosul: al-Saha and al-Sham gate
60,Deir Ez-Zor: Al Husseiniya crossing,35.357346,40.144472,1,Syria,Deir Ez-Zor: Al Husseiniya crossing
61,Al Soor,35.5081949,40.6549072,23,Syria,Al Soor
62,Ar Raqqah: Jamili Street,35.957852,39.002044,1,Syria,Ar Raqqah: Jamili Street
63,Mosul: Omar al Taleb mosque,36.354562,43.099137,0,Iraq,Mosul: Omar al Taleb mosque
64,Zemla,35.479722,38.889444,2,Syria,Zemla
65,Mrat,35.31407,40.23865,2,Syria,Mrat
66,Anadan,36.29353,37.04466,3,Syria,Anadan
67,Ar Raqqah: behind cultural center,35.943974,39.01145,2,Syria,Ar Raqqah: behind cultural center
68,Al Rashid farms,36.0459067,38.7257767,0,Syria,Al Rashid farms
69,Kbeibah,36.91498,41.38123,2,Syria,Kbeibah
70,Tal Hassan,36.0599239,37.8514194,1,Syria,Tal Hassan
71,Al Hisso,36.18,40.48167,1,Syria,Al Hisso
72,Tarmiyah: al Baghdadi,33.675556,44.391667,5,Iraq,Tarmiyah: al Baghdadi
73,Ar Raqqah: North of city,35.9621682,39.0062714,1,Syria,Ar Raqqah: North of city
74,Mahimideh,35.44294,40.08619,1,Syria,Mahimideh
75,Mosul: Baghdad Street,36.324818,43.101468,5,Iraq,Mosul: Baghdad Street
76,Ramadi (Al Bosaleh),33.437441,43.286666,17,Iraq,Ramadi (Al Bosaleh)
77,Tall Birak,36.683359,41.053686,1,Syria,Tall Birak
78,Mosul: Muhammadiyah Mosque,36.3785536,43.1696552,2,Iraq,Mosul: Muhammadiyah Mosque
79,Muhassan,35.2257487,40.3109038,12,Syria,Muhassan
80,Ar Raqqah OR Deir Ezzor,35.9505639,39.0094148,4,Syria,Ar Raqqah OR Deir Ezzor
81,Fadhiliya,36.5125336,43.2689667,18,Iraq,Fadhiliya
82,Mayadin: Al Masaken,35.016624,40.4645133,1,Syria,Mayadin: Al Masaken
83,Al Ghazili,36.3106469,39.0171129,1,Syria,Al Ghazili
84,Dabiq,36.539778,37.269556,6,Syria,Dabiq
85,Ar Raqqah: Al Adhkar,35.9559589,38.986423,3,Syria,Ar Raqqah: Al Adhkar
86,Sabwayran,36.51741,37.65538,2,Syria,Sabwayran
87,Ja'abar,35.9246445,38.5273361,7,Syria,Ja'abar
88,Mosul: Al Hermat,36.323338,43.112861,46,Iraq,Mosul: Al Hermat
89,Fakhikha,35.924794,38.186393,2,Syria,Fakhikha
90,Ar Raqqah: Hisham Bin Abd al Malek neighbourhood,35.940833,39.019167,10,Syria,Ar Raqqah: Hisham Bin Abd al Malek neighbourhood
91,Ar Raqqah: Al Rumaila,35.959444,39.0325,3,Syria,Ar Raqqah: Al Rumaila
92,Mosul: Saha,36.349444,43.100833,16,Iraq,Mosul: Saha
93,Al Andalus Farm,35.992458,38.739166,9,Syria,Al Andalus Farm
94,Raqqa al Samra,35.9327067,39.0910721,8,Syria,Raqqa al Samra
95,Marwah,36.4969933,38.3927321,12,Syria,Marwah
96,Qaltah,36.1795231,39.0142536,3,Syria,Qaltah
97,Hit: Bakir,33.649167,42.834722,2,Iraq,Hit: Bakir
98,Ar Raqqah: ,35.9505639,39.0094148,8,Syria,Ar Raqqah: 
99,Mosul: Bab-Sinjar,36.347347,43.1225932,42,Iraq,Mosul: Bab-Sinjar
100,Irbil,36.191457,44.009341,0,Iraq,Irbil
101,Ar Raqqah: Al Maari school area,35.9621355,39.0097957,3,Syria,Ar Raqqah: Al Maari school area
102,Haj Ali,35.734251,43.3181477,41,Iraq,Haj Ali
103,Ar Raqqah: Al Hadika al Mororia,35.960866,39.004469,1,Syria,Ar Raqqah: Al Hadika al Mororia
104,Ar Raqqah: Romaniya,35.963056,38.975556,3,Syria,Ar Raqqah: Romaniya
105,Asriya,33.46345,43.07301,69,Iraq,Asriya
106,"Mosul: al-Zohour, al-Tahrir, al-Bunook [also known as Al Massaref] and al-Muthanna neighborhoods",36.34585235,43.09857692,14,Iraq,"Mosul: al-Zohour, al-Tahrir, al-Bunook [also known as Al Massaref] and al-Muthanna neighborhoods"
107,Khirbat Farms,36.065178,39.043424,2,Syria,Khirbat Farms
108,Mosul: West,36.346741,43.118997,260,Iraq,Mosul: West
109,Mosul: Islah al Zirai,36.3507344,43.0868769,25,Iraq,Mosul: Islah al Zirai
110,Ar Raqqah: Centre,35.9505639,39.0094148,28,Syria,Ar Raqqah: Centre
111,Kisham,35.3020098,40.2914143,10,Syria,Kisham
112,Al Nayrab,35.86955,36.71867,3,Syria,Al Nayrab
113,"Mosul: Omar al-Aswad mosque, Farouk",36.338001,43.128728,50,Iraq,"Mosul: Omar al-Aswad mosque, Farouk"
114,Mosul: Al-Quds,36.3446163,43.2249784,4,Iraq,Mosul: Al-Quds
115,Ramadi: Sofiya,33.437441,43.286666,14,Iraq,Ramadi: Sofiya
116,Mosul: Dawassa area,36.332586,43.1388688,130,Iraq,Mosul: Dawassa area
117,Mosul: Rifai and 17 July,36.336843,43.117979,1,Iraq,Mosul: Rifai and 17 July
118,Ar Raqqah: White Garden area,35.960556,38.9975,29,Syria,Ar Raqqah: White Garden area
119,Hamam,36.528088,39.0773392,1,Syria,Hamam
120,Ar Raqqah: Al Ferdos,35.9505639,39.0094148,3,Syria,Ar Raqqah: Al Ferdos
121,Deir Ezzor: Sukariya,34.471667,40.911111,6,Syria,Deir Ezzor: Sukariya
122,Ar Raqqah: Al Sakiya street,35.962642,39.00416,2,Syria,Ar Raqqah: Al Sakiya street
123,Tabaqah: Al Qaryah,35.837778,38.551111,4,Syria,Tabaqah: Al Qaryah
124,Al Mayadin: al Takiya Street,35.016667,40.444167,1,Syria,Al Mayadin: al Takiya Street
125,Ali Al Ghanem,35.773056,39.4025,2,Syria,Ali Al Ghanem
126,Al Zab,35.2697714,43.458867,2,Iraq,Al Zab
127,Minhar Mountain,35.9268687,39.2716599,0,Syria,Minhar Mountain
128,Sarmin,35.904042,36.726111,0,Syria,Sarmin
129,Ar Raqqah: Qaser al Banat,35.947778,39.026111,8,Syria,Ar Raqqah: Qaser al Banat
130,Ar Raqqah: Near Tariq Bin Ziad School,35.953056,39.021944,6,Syria,Ar Raqqah: Near Tariq Bin Ziad School
131,Ar Raqqah: National hospital,35.949994,39.003815,18,Syria,Ar Raqqah: National hospital
132,Mosul: Telkaif,36.34585235,43.09857692,8,Iraq,Mosul: Telkaif
133,Sinjar: Um Al Theban,36.3206914,41.8641115,11,Iraq,Sinjar: Um Al Theban
134,Hossain ,35.961944,39.767222,5,Syria,Hossain 
135,Al-Gharah,36.4506988,40.2984953,1,Syria,Al-Gharah
136,Ar Raqqah: near the new bridge,35.9275,38.996944,4,Syria,Ar Raqqah: near the new bridge
137,Ameriat al Fallujah,33.1706776,43.8636875,1,Iraq,Ameriat al Fallujah
138,Al Bahra,34.74226,40.76953,1,Syria,Al Bahra
139,Mosul: Cultural District,36.375,43.141667,7,Iraq,Mosul: Cultural District
140,Al Jamahir,34.395,40.991944,0,Iraq,Al Jamahir
141,Ar Raqqah: Al Makef,35.964633,39.044915,2,Syria,Ar Raqqah: Al Makef
142,Mosul: Aeklam flour mill near Shaam Gate,36.337778,43.089722,14,Iraq,Mosul: Aeklam flour mill near Shaam Gate
143,Ar Raqqah: Badu neighbourhood,35.958889,39.008889,1,Syria,Ar Raqqah: Badu neighbourhood
144,Mosul: Al Masarif,36.3842544,43.1767845,4,Iraq,Mosul: Al Masarif
145,"Dablan, Ta'as: area behind the mosque",34.8558708,40.5701602,0,Syria,"Dablan, Ta'as: area behind the mosque"
146,Zor Shamer,35.78379,39.36559,8,Syria,Zor Shamer
147,Al Mayadin: Central,35.016667,40.444167,10,Syria,Al Mayadin: Central
148,Al Qaim,34.393277,40.984755,36,Iraq,Al Qaim
149,"Ar Raqqah: near the Al-Safa Mosque, Al Dar'ia",35.9473563,38.9907253,12,Syria,"Ar Raqqah: near the Al-Safa Mosque, Al Dar'ia"
150,Mosul: Jaza'ir / Algeria and other neighbourhoods,36.3547437,43.1640816,10,Iraq,Mosul: Jaza'ir / Algeria and other neighbourhoods
151,Al Mayadin: near Al-Arbaeen Street,35.017194,40.449195,5,Syria,Al Mayadin: near Al-Arbaeen Street
152,Tadif,36.34857,37.531501,13,Syria,Tadif
153,Al Besera,35.15618,40.42716,10,Syria,Al Besera
154,Hajj Ali,35.734251,43.3181477,1,Iraq,Hajj Ali
155,"Ar Raqqah: Old Raqqa, Al Nahda and Al Yarmouk",35.9560544,38.9925385,5,Syria,"Ar Raqqah: Old Raqqa, Al Nahda and Al Yarmouk"
156,Mosul: Borsa,36.345515,43.116425,33,Iraq,Mosul: Borsa
157,Al A'shara,34.92,40.56,0,Syria,Al A'shara
158,Mosul: Al Jameha / University,36.3838398,43.1430531,1,Iraq,Mosul: Al Jameha / University
159,Ar Raqqah: west of al Mu'Taz Street,35.948226,39.015897,13,Syria,Ar Raqqah: west of al Mu'Taz Street
160,Hamr ar Shaqiya,36.2566285,37.9578066,3,Syria,Hamr ar Shaqiya
161,Al Qadissiya,35.982156,39.2132198,1,Syria,Al Qadissiya
162,Ar Raqqah: al Mansour street,35.947821,39.017069,1,Syria,Ar Raqqah: al Mansour street
163,Hit: Jerri and Amina ,33.638333,42.822778,8,Iraq,Hit: Jerri and Amina 
164,Hamra Bouwaitiya,35.93771,39.12475,7,Syria,Hamra Bouwaitiya
165,Ar Raqqah: Dari'ya,35.947222,38.991389,1,Syria,Ar Raqqah: Dari'ya
166,Al Karama and Al Ghassaniyah,35.86808,39.277394,7,Syria,Al Karama and Al Ghassaniyah
167,Mosul: Bab al Beith,36.334444,43.123889,12,Iraq,Mosul: Bab al Beith
168,"Mosul: Zanjili, Makawi, Fateh, 17 July, Matahen",36.336843,43.117979,51,Iraq,"Mosul: Zanjili, Makawi, Fateh, 17 July, Matahen"
169,Tabaqa: Second Neighbourhood,35.846667,38.543889,4,Syria,Tabaqa: Second Neighbourhood
170,"Mosul: Farouk, Zinjili, Islah Zerae",36.336843,43.117979,22,Iraq,"Mosul: Farouk, Zinjili, Islah Zerae"
171,Ar Raqqah: (931),35.9505639,39.0094148,2,Syria,Ar Raqqah: (931)
172,Uzri,33.61579,44.33891,3,Iraq,Uzri
173,Al Sakuriyah,35.998799,38.844251,0,Syria,Al Sakuriyah
174,Al Ghandoura,36.677467,37.7545406,22,Syria,Al Ghandoura
175,Ar Raqqah: Al Raqqah Samra,35.9327067,39.0910721,2,Syria,Ar Raqqah: Al Raqqah Samra
176,Hit: Qalqa neighbourhood,33.6425,42.821944,1,Iraq,Hit: Qalqa neighbourhood
177,Mosul: Sukkar ,36.3910949,43.1676006,32,Iraq,Mosul: Sukkar 
178,Ar Raqqah [exact location],35.9466137,39.0155679,18,Syria,Ar Raqqah [exact location]
179,Hatra,35.5729,42.73395,15,Iraq,Hatra
180,Al Mansoura,35.83917,38.74288,84,Syria,Al Mansoura
181,Tabaqah: Al Haal Market,35.849444,38.553333,5,Syria,Tabaqah: Al Haal Market
182,Debsi Afnan,35.8175348,38.2162857,12,Syria,Debsi Afnan
183,Mosul: Hadba,36.3951712,43.1503487,1,Iraq,Mosul: Hadba
184,al Baghouz Desert,34.4748637,41.0112762,10,Syria,al Baghouz Desert
185,Hawija,35.3240179,43.77335,10,Iraq,Hawija
186,Al Zab district of Hawijah,35.394648,43.574524,5,Iraq,Al Zab district of Hawijah
187,Mosul: West / Right side,36.336843,43.117979,410,Iraq,Mosul: West / Right side
188,Ar Raqqah: Nahdah,35.956606,38.992476,0,Syria,Ar Raqqah: Nahdah
189,Taftanaz,35.9976603,36.7856598,1,Syria,Taftanaz
190,Tabaqah: Iskanderia,35.813889,38.547222,2,Syria,Tabaqah: Iskanderia
191,Bahssa,36.081812,40.7012987,2,Syria,Bahssa
192,Beer Maghat,36.662222,37.955556,2,Syria,Beer Maghat
193,Sukariya,34.471667,40.911111,0,Syria,Sukariya
194,Mayadin,35.026052,40.459074,4,Syria,Mayadin
195,Ar Raqqah: Tal Abyad Street,35.948534,39.012615,1,Syria,Ar Raqqah: Tal Abyad Street
196,Khatouniya & Salhabiya,35.940907,38.7607956,1,Syria,Khatouniya & Salhabiya
197,Ar Raqqah: Al Hal market,35.9498881,39.0213561,7,Syria,Ar Raqqah: Al Hal market
198,Mosul: Karama,36.3435269,43.2140027,7,Iraq,Mosul: Karama
199,Hunaida,35.83234,38.69938,42,Syria,Hunaida
200,Mosul: Tammuz / July 17th,36.3667014,43.0854607,4,Iraq,Mosul: Tammuz / July 17th
201,Mosul: Al-Qaysiyat and Al-Arabi ,36.4368746,43.1029299,8,Iraq,Mosul: Al-Qaysiyat and Al-Arabi 
202,Ar Raqqah: Saif al Dawla street,35.94785,39.020585,0,Syria,Ar Raqqah: Saif al Dawla street
203,Mosul: East neighbourhoods,36.368483,43.184281,17,Iraq,Mosul: East neighbourhoods
204,Al Ghazli,36.30755,39.02292,14,Syria,Al Ghazli
205,Muhsin,35.2257487,40.3109038,0,Syria,Muhsin
206,Ar Raqqah: (938),35.9505639,39.0094148,1,Syria,Ar Raqqah: (938)
207,Ar Raqqah: Al-Safarna,35.940833,39.019167,5,Syria,Ar Raqqah: Al-Safarna
208,Rowaishid,35.668454,40.431061,1,Syria,Rowaishid
209,Mosul: Old City (Sultan Nuts Factory),36.34075,43.126911,0,Iraq,Mosul: Old City (Sultan Nuts Factory)
210,Ar Raqqah: (974),35.9505639,39.0094148,1,Syria,Ar Raqqah: (974)
211,Mosul: Mosul al-Jadid / New Mosul,36.3323266,43.1050515,322,Iraq,Mosul: Mosul al-Jadid / New Mosul
212,Mosul: Talmuz/ July 17th,36.3667014,43.0854607,9,Iraq,Mosul: Talmuz/ July 17th
213,Hit: Al-Bab Al-Gharbi and Ummal,33.634444,42.827222,2,Iraq,Hit: Al-Bab Al-Gharbi and Ummal
214,Ar Raqqah: al Idkhar residences,35.955833,38.986389,6,Syria,Ar Raqqah: al Idkhar residences
215,Hawija al Sawafi,35.8826525,39.1066933,2,Syria,Hawija al Sawafi
216,"Mosul: South, girls' school",36.332845,43.199477,2,Iraq,"Mosul: South, girls' school"
217,Ar Raqqah: Busaraya,35.9475952,39.0150905,1,Syria,Ar Raqqah: Busaraya
218,Ar Raqqah: al Badou and al Thakana neighbourhoods,35.958889,39.008889,8,Syria,Ar Raqqah: al Badou and al Thakana neighbourhoods
219,Al Kasham,34.811111,40.600833,1,Syria,Al Kasham
220,Mosul: Al-Malyia,36.3427151,43.1594467,36,Iraq,Mosul: Al-Malyia
221,Ar Raqqah: Hawijah al Swafi,35.9505639,39.0094148,1,Syria,Ar Raqqah: Hawijah al Swafi
222,Abu Hamda,35.9931118,40.9959984,7,Syria,Abu Hamda
223,Mosul: Al-Zinjili,36.3502851,43.1098795,118,Iraq,Mosul: Al-Zinjili
224,Mosul: Dur al Sekak,36.329341,43.125032,5,Iraq,Mosul: Dur al Sekak
225,Ar Raqqah: Tib Al-Hadeeth,35.952402,39.002194,1,Syria,Ar Raqqah: Tib Al-Hadeeth
226,Shadadi,36.056316,40.730438,53,Syria,Shadadi
227,Mosul: Sha'areen,36.3438061,43.1318843,3,Iraq,Mosul: Sha'areen
228,Mosul: al Falah,36.383778,43.177611,8,Iraq,Mosul: al Falah
229,Al Jalaa farm,36.150278,37.887222,3,Syria,Al Jalaa farm
230,Wadi Hajar (Mosul),36.32061,43.12801,0,Iraq,Wadi Hajar (Mosul)
231,Mosul: Al-Muhandisin/Engineers,36.3669087,43.1361008,2,Iraq,Mosul: Al-Muhandisin/Engineers
232,Al Mayadin: Saraya government building,35.016667,40.444167,0,Syria,Al Mayadin: Saraya government building
233,Mosul: Qadishiyah and Zahra,36.3738198,43.1914616,6,Iraq,Mosul: Qadishiyah and Zahra
234,Karabilah,34.37695,41.05442,0,Iraq,Karabilah
235,Mosul: Kafaat,36.3972439,43.1445122,1,Iraq,Mosul: Kafaat
236,Sudayrah,35.4669,43.28284,22,Iraq,Sudayrah
237,Al Shaheel,35.0865,40.45232,4,Syria,Al Shaheel
238,Mosul: Al-Rashidiyah,36.4125106,43.0977345,23,Iraq,Mosul: Al-Rashidiyah
239,Al Bouliyal,35.215384,40.370336,2,Syria,Al Bouliyal
240,"Al Thani and Al Awwal, Al Tabaqa, Syria",35.8295049,38.5360909,1,Syria,"Al Thani and Al Awwal, Al Tabaqa, Syria"
241,Khafsa,36.23333,38.01667,7,Syria,Khafsa
242,Mosul: Cultural group (Daash court headquarters),36.375,43.141667,35,Iraq,Mosul: Cultural group (Daash court headquarters)
243,Al Hittila: Al Rashad,35.34169,40.19897,1,Syria,Al Hittila: Al Rashad
244,Al Rahiat,36.08,39.05917,12,Syria,Al Rahiat
245,Huwaija,35.321848,43.785152,2,Iraq,Huwaija
246,Al Mayadin: Al-Arba’eeb street,35.017721,40.447309,5,Syria,Al Mayadin: Al-Arba’eeb street
247,Tal al Samin,36.2273118,38.9727974,2,Syria,Tal al Samin
248,Tarif,35.546614,39.858012,1,Syria,Tarif
249,Mosul: Bareed,36.34585235,43.09857692,4,Iraq,Mosul: Bareed
