id,location,lat,lon,deads,country,more
250,Ar Raqqah: Al Nour,35.955556,38.9925,18,Syria,Ar Raqqah: Al Nour
251,Hama,36.3949071,36.543143,1,Syria,Hama
252,Shirqat,35.282674,43.163426,0,Iraq,Shirqat
253,Ar Raqqah: near Hamida School,35.955949,39.001119,1,Syria,Ar Raqqah: near Hamida School
254,Kafr Daryan,36.1757897,36.6662586,15,Syria,Kafr Daryan
255,Mosul: Mahalet al Hammam / Bab Laksh,36.339738,43.132406,3,Iraq,Mosul: Mahalet al Hammam / Bab Laksh
256,Al Alwa,35.950833,40.820556,5,Syria,Al Alwa
257,Tall Btal,36.50018,37.43927,3,Syria,Tall Btal
258,Zir,35.12527,40.42864,2,Syria,Zir
259,Al Hissan,35.4008045,40.1184654,2,Syria,Al Hissan
260,Mosul: Hamam al Alil subdistrict,36.16429,43.25923,23,Iraq,Mosul: Hamam al Alil subdistrict
261,Uwaynat,34.4743065,43.7321949,15,Iraq,Uwaynat
262,Abu al Naital,35.458889,40.677222,1,Syria,Abu al Naital
263,Mosul: Bab Sinjar,36.347347,43.1225932,35,Iraq,Mosul: Bab Sinjar
264,Ar Raqqah: Al Sa'a,35.946408,39.013233,2,Syria,Ar Raqqah: Al Sa'a
265,Dashisha,36.0436,41.16444,2,Syria,Dashisha
266,Ar Raqqah: Al Fardous/ paradise area,35.953861,39.005409,2,Syria,Ar Raqqah: Al Fardous/ paradise area
267,Kabsh,36.1308734,38.8404465,6,Syria,Kabsh
268,Ar Raqqah: Al Noor street,35.952,39.0008,1,Syria,Ar Raqqah: Al Noor street
269,Mosul: Muthana,36.3738889,43.1718063,3,Iraq,Mosul: Muthana
270,Ar Raqqah: Al-Hariri Building,35.9549081,39.0230727,5,Syria,Ar Raqqah: Al-Hariri Building
271,Kaljibrin,36.5359847,37.1173525,28,Syria,Kaljibrin
272,Mosul: Askari,36.1703776,43.2489681,4,Iraq,Mosul: Askari
273,Hamam al Alil,36.157604,43.257238,9,Iraq,Hamam al Alil
274,Ar Raqqah: National Raqqa hospital,35.949994,39.003815,2,Syria,Ar Raqqah: National Raqqa hospital
275,Mosul: East [Cultural group],36.368483,43.184281,1,Iraq,Mosul: East [Cultural group]
276,Ar Raqqah: Baladi Stadium and Muawiya School District,35.958608,39.003568,6,Syria,Ar Raqqah: Baladi Stadium and Muawiya School District
277,Mosul: al Shafaa,36.352636,43.12195,4,Iraq,Mosul: al Shafaa
278,Mahkan,34.974444,40.485556,11,Syria,Mahkan
279,Hit,33.642631,42.8278537,76,Iraq,Hit
280,Kasrat Sheikh (Juma'a),35.905278,38.963889,27,Syria,Kasrat Sheikh (Juma'a)
281,Al Suweidiya,35.751769,39.61639,4,Syria,Al Suweidiya
282,Mazyoneh,35.72471,37.23006,1,Syria,Mazyoneh
283,Al Sa'awa ,35.53226,39.96322,2,Syria,Al Sa'awa 
284,Safsaf farms,35.8414731,38.6241531,1,Syria,Safsaf farms
285,Ar Raqqah: Al-Shuhada Mosque,35.964033,39.005355,1,Syria,Ar Raqqah: Al-Shuhada Mosque
286,Mosul: Rashadiya,36.406245,43.102194,1,Iraq,Mosul: Rashadiya
287,Ar Raqqah: Al Jumeila neighbourhood,35.95013,39.019034,2,Syria,Ar Raqqah: Al Jumeila neighbourhood
288,Tayyani,34.993798,40.548059,3,Syria,Tayyani
289,Deir Ez-Zor,35.3353632,40.1380348,1,Syria,Deir Ez-Zor
290,Al Abbasiyah,34.27702,43.80145,2,Iraq,Al Abbasiyah
291,Kabish Sharqi and Tishreen farm villages,36.1301108,38.8524628,4,Syria,Kabish Sharqi and Tishreen farm villages
292,Al Mayadin: Al-Thawrah,35.0225197,40.4383135,5,Syria,Al Mayadin: Al-Thawrah
293,Al Tayara,35.989722,39.023333,1,Syria,Al Tayara
294,Khisham,35.3020098,40.2914143,13,Syria,Khisham
295,Road between Raqqa and Deir Ezzor,35.725168,39.619615,2,Syria,Road between Raqqa and Deir Ezzor
296,Kobanî,36.8883919,38.3528042,1,Syria,Kobanî
297,Mosul: Sumer,36.2981099,43.2000446,12,Iraq,Mosul: Sumer
298,Al Kashkiya: school building,34.8225805,40.6799993,5,Syria,Al Kashkiya: school building
299,"Eyathia, Tal Afar",36.484038,42.418213,40,Iraq,"Eyathia, Tal Afar"
300,Ar Raqqah: Al Intifada,35.944489,38.994138,5,Syria,Ar Raqqah: Al Intifada
301,Ojkana,36.4203501,38.0766392,22,Syria,Ojkana
302,Al Tayba,35.0052619,40.4581082,18,Syria,Al Tayba
303,Makhul,35.20437,43.27905,11,Iraq,Makhul
304,Tall Hamis,36.75514,41.399094,1,Syria,Tall Hamis
305,Al Subha,35.2970537,40.2363968,7,Syria,Al Subha
306,Al Shahabat village,35.375404,40.184898,11,Syria,Al Shahabat village
307,Humaidat,36.40389,42.9789,2,Iraq,Humaidat
308,Senjah,34.9346024,43.4121323,43,Iraq,Senjah
309,Maskanah,35.907881,39.169956,13,Syria,Maskanah
310,Mosul: Khazraj,36.34075,43.126911,1,Iraq,Mosul: Khazraj
311,Mosul: Zinjili,36.3502851,43.1098795,88,Iraq,Mosul: Zinjili
312,Al Maghla Bridge,35.7989845,39.4967079,2,Syria,Al Maghla Bridge
313,Mosul: Medical City Hospital,36.3570248,43.116703,18,Iraq,Mosul: Medical City Hospital
314,Ar Raqqah: Al Tawwassoui'ya neighbourhood,35.9633318,38.9806321,12,Syria,Ar Raqqah: Al Tawwassoui'ya neighbourhood
315,Makla: banks of Euphrates,35.797703,39.497702,2,Syria,Makla: banks of Euphrates
316,Mosul: Al Rasheed Bank in Zuhoor,36.3779446,43.1814006,1,Iraq,Mosul: Al Rasheed Bank in Zuhoor
317,Ar Raqqah: Dari’eya,35.947222,38.991389,5,Syria,Ar Raqqah: Dari’eya
318,Al Kasrat or Ar Raqqa,35.9505639,39.0094148,1,Syria,Al Kasrat or Ar Raqqa
319,Akhtarin,36.511482,37.336689,1,Syria,Akhtarin
320,Shahid-Yunis,36.3132,43.21294,2,Iraq,Shahid-Yunis
321,Mosul: Farouk and other neighbourhoods,36.3431411,43.1257262,2,Iraq,Mosul: Farouk and other neighbourhoods
322,Mosul: Dur al Resala,36.326071,43.089424,7,Iraq,Mosul: Dur al Resala
323,Dabiq: thread making workshop,36.539778,37.269556,1,Syria,Dabiq: thread making workshop
324,Maysalon Farms,36.055761,38.946362,2,Syria,Maysalon Farms
325,Bokros,35.07028,40.41959,4,Syria,Bokros
326,Ar Raqqah: al Thakanna,35.9505639,39.0094148,2,Syria,Ar Raqqah: al Thakanna
327,Ar Raqqah: Al Manghiyah and Al Sina’a,35.9505639,39.0094148,2,Syria,Ar Raqqah: Al Manghiyah and Al Sina’a
328,Desert road SW of Tabaqah,35.180051,37.967398,1,Syria,Desert road SW of Tabaqah
329,"Mosul, Al Wahda",36.3290942,43.1870842,3,Iraq,"Mosul, Al Wahda"
330,Sanjak,34.4137075,41.0007191,1,Iraq,Sanjak
331,Talbisah,34.8420186,36.711974,1,Syria,Talbisah
332,Hawi al Hawa,35.95334,38.91057,5,Syria,Hawi al Hawa
333,Mosul: Nabi Jarjis,36.347788,43.132997,31,Iraq,Mosul: Nabi Jarjis
334,Mosul: 7 Nisan (April) or Baysan,36.3966912,43.1619358,8,Iraq,Mosul: 7 Nisan (April) or Baysan
335,"Ar Raqqah: Imam al Nawawi mosque, al Nahda neighbourhood",35.956328,38.999282,1,Syria,"Ar Raqqah: Imam al Nawawi mosque, al Nahda neighbourhood"
336,"Al Qaliat, Mosul: Old City",36.346667,43.133611,0,Iraq,"Al Qaliat, Mosul: Old City"
337,Mosul: Al Nouri mosque,36.343126,43.126839,4,Iraq,Mosul: Al Nouri mosque
338,Majdal,36.5378639,40.617528,1,Syria,Majdal
339,Qabasin,36.4376286,37.5692885,1,Syria,Qabasin
340,Mosul: Qudis,36.3446163,43.2249784,2,Iraq,Mosul: Qudis
341,Ar Raqqah: Hisham ibn Abdul Malik,35.940907,39.019103,22,Syria,Ar Raqqah: Hisham ibn Abdul Malik
342,Tawama,36.19327,36.80928,1,Syria,Tawama
343,Al Kashkiya,34.81,40.694722,1,Syria,Al Kashkiya
344,Al Khafsa,36.2308082,38.021965,12,Syria,Al Khafsa
345,Al Qata,34.66164,40.79138,0,Syria,Al Qata
346,Mulla Zaid near Tal Jayer,36.033926,41.0987592,12,Syria,Mulla Zaid near Tal Jayer
347,Alqosjat,36.4368746,43.1029299,8,Iraq,Alqosjat
348,Al Safsaf farm,35.8414731,38.6241531,1,Syria,Al Safsaf farm
349,Musherfa,36.27418,38.21988,5,Syria,Musherfa
350,Al Arbaeen Mountains,35.805363,36.618816,4,Syria,Al Arbaeen Mountains
351,Ar Raqqah,35.9505639,39.0094148,853,Syria,Ar Raqqah
352,Mosul: Jaza'ir / Algeria,36.3547437,43.1640816,1,Iraq,Mosul: Jaza'ir / Algeria
353,"Al Maydan, Mosul: Old City",36.335556,43.125,300,Iraq,"Al Maydan, Mosul: Old City"
354,Ar Raqqah: al Sakhani,35.951373,39.016984,28,Syria,Ar Raqqah: al Sakhani
355,Jarabulus,36.818378,38.010343,5,Syria,Jarabulus
356,Al Taybeh,35.08895,38.91597,1,Syria,Al Taybeh
357,Ar Raqqah: District 17,35.990833,39.025556,1,Syria,Ar Raqqah: District 17
358,Al Hawaji,35.055294,40.488739,5,Syria,Al Hawaji
359,Al-Bab: New Street,36.3705393,37.5151107,17,Syria,Al-Bab: New Street
360,Bashiqa,36.4519415,43.3503342,4,Iraq,Bashiqa
361,Tabaqah: Al A’rid street,35.8295049,38.5360909,3,Syria,Tabaqah: Al A’rid street
362,Badush,36.4175,42.966389,25,Iraq,Badush
363,Al Quoriya,34.96,40.55,10,Syria,Al Quoriya
364,Hawi ,35.040833,40.508889,3,Syria,Hawi 
365,Jisr Samouqa,36.4339204,37.2497034,3,Syria,Jisr Samouqa
366,Mosul: Flour Mill (West Mosul),36.327222,43.119722,5,Iraq,Mosul: Flour Mill (West Mosul)
367,Mosul: Meshada,36.344722,43.121111,18,Iraq,Mosul: Meshada
368,Taiba Jazeera,35.279167,40.311111,1,Syria,Taiba Jazeera
369,Mayouf,36.43268,42.861649,34,Iraq,Mayouf
370,Mosul: Al-Zinjili: Al Batool Hospital,36.356667,43.115,3,Iraq,Mosul: Al-Zinjili: Al Batool Hospital
371,Batabo,36.13447,36.73979,2,Syria,Batabo
372,Baloum,35.0324211,40.4281855,1,Syria,Baloum
373,Mosul: Agricultural,36.3559188,43.1460571,21,Iraq,Mosul: Agricultural
374,Mosul: Ghazlani,36.302955,43.128271,10,Iraq,Mosul: Ghazlani
375,Tubzawa,36.3828155,43.3518415,1,Iraq,Tubzawa
376,Haditha,34.1460894,42.3802758,12,Iraq,Haditha
377,Mosul: Hawi al Kanassa,36,43,9,Iraq,Mosul: Hawi al Kanassa
378,Al Bouhamad ,35.786111,39.436389,3,Syria,Al Bouhamad 
379,Ar Raqqah: Al Kahraba neighbourhood,35.963349,39.013546,5,Syria,Ar Raqqah: Al Kahraba neighbourhood
380,Ar Raqqah: Al Wadi street,35.948509,39.01324,1,Syria,Ar Raqqah: Al Wadi street
381,Sabha and al Jadid crossing,35.258358,40.330682,0,Syria,Sabha and al Jadid crossing
382,Muqah,35.499025,36.639595,3,Syria,Muqah
383,Al Assadiyah near Ar Raqqah,35.966983,38.703728,2,Syria,Al Assadiyah near Ar Raqqah
384,Ar Raqqah: Fardous,35.954025,39.006268,30,Syria,Ar Raqqah: Fardous
385,Abu Hammam,34.827222,40.665278,3,Syria,Abu Hammam
386,Anah,34.372699,41.986442,0,Iraq,Anah
387,Mosul: Rifai and Zanjili,36.3558497,43.0937862,12,Iraq,Mosul: Rifai and Zanjili
388,Al Jina,36.117309,36.802243,37,Syria,Al Jina
389,Abu Kamal: al Suwei’ya bridge,34.440964,40.929244,4,Syria,Abu Kamal: al Suwei’ya bridge
390,Al Tanak oil field,34.9109917,40.836525,2,Syria,Al Tanak oil field
391,Al Mayadin: al Bakra roundabout,35.016667,40.444167,1,Syria,Al Mayadin: al Bakra roundabout
392,Mosul: Cairo,36.3952403,43.1913757,5,Iraq,Mosul: Cairo
393,Mosul: Shafa,36.3534304,43.1174326,16,Iraq,Mosul: Shafa
394,Al Kour,36.1971183,38.6234665,3,Syria,Al Kour
395,Jaidin,35.6811377,38.690645,1,Syria,Jaidin
396,Ar Raqqah: (943),35.9505639,39.0094148,1,Syria,Ar Raqqah: (943)
397,Al Butma near Huwaija,35.503101,43.888521,2,Iraq,Al Butma near Huwaija
398,Ar Raqqah - Deir Ezzor road,35.701487,39.635664,1,Syria,Ar Raqqah - Deir Ezzor road
399,Al Mayadin: Dream Mall,35.026911,40.450805,3,Syria,Al Mayadin: Dream Mall
400,`Arishah,36.2475958,40.7620239,2,Syria,`Arishah
401,Ar Raqqah: Jaraksa,35.947543,39.010745,1,Syria,Ar Raqqah: Jaraksa
402,between Hazima & al Abb'ara,36.1459151,38.9945984,1,Syria,between Hazima & al Abb'ara
403,Mosul: Khalid Bin Al Waleed street / Al Masrif,36.341111,43.133056,7,Iraq,Mosul: Khalid Bin Al Waleed street / Al Masrif
404,Ar Raqqah: Al Mukhalafat,35.9560544,38.9925385,3,Syria,Ar Raqqah: Al Mukhalafat
405,Mazra'at Al Qadissiya,35.982156,39.2132198,1,Syria,Mazra'at Al Qadissiya
406,Tall al Samin,36.2282119,38.9726257,6,Syria,Tall al Samin
407,desert of al Jalaa town,34.6185172,40.7867432,2,Syria,desert of al Jalaa town
408,Mosul: East,36.368483,43.184281,46,Iraq,Mosul: East
409,Al Sahel,35.87441,38.63985,1,Syria,Al Sahel
410,Majawdeh,34.6574984,40.7948971,1,Syria,Majawdeh
411,`Ayn `Isa,36.383715,38.866611,5,Syria,`Ayn `Isa
412,Mosul: old bridge,36.346171,43.138109,0,Iraq,Mosul: old bridge
413,Kisik Junction,36.4618824,42.6849747,12,Iraq,Kisik Junction
414,Hit and Thaiyala,33.437441,43.286666,12,Iraq,Hit and Thaiyala
415,Hamam Sagheir,36.65233,38.13965,2,Syria,Hamam Sagheir
416,Mosul: Isilah Zeraei / Agrarian Reform,36.3507344,43.0868769,24,Iraq,Mosul: Isilah Zeraei / Agrarian Reform
417,Subikhan,34.8606229,40.6014432,3,Syria,Subikhan
418,Tabaqah: Al Wahab (First Neighbourhood),35.814722,38.537778,12,Syria,Tabaqah: Al Wahab (First Neighbourhood)
419,Hamra Blassem,35.878056,39.197222,15,Syria,Hamra Blassem
420,Mosul: Rifai and Hermat,36.34585235,43.09857692,23,Iraq,Mosul: Rifai and Hermat
421,Ar Raqqah: Hadiqa Bayda (Bedo),35.96064,38.997624,8,Syria,Ar Raqqah: Hadiqa Bayda (Bedo)
422,Ya'arob,35.976944,38.873056,6,Syria,Ya'arob
423,Mosul: Industrial area in Arabi,36.413333,43.106667,21,Iraq,Mosul: Industrial area in Arabi
424,Harim,36.212564,36.519736,2,Syria,Harim
425,Ar Raqqah: Al Naim roundabout,35.95447,39.009392,18,Syria,Ar Raqqah: Al Naim roundabout
426,Akashat,33.669497,39.967918,3,Iraq,Akashat
427,Al Mayadin: Al Baadoum,35.033898,40.425278,0,Syria,Al Mayadin: Al Baadoum
428,Graneej,34.776667,40.73,3,Syria,Graneej
429,Masra'at al Assadiya,36.0091172,39.018631,3,Syria,Masra'at al Assadiya
430,Ar Raqqah: Al Tawaswi’ya neighbourhood,35.9633318,38.9806321,2,Syria,Ar Raqqah: Al Tawaswi’ya neighbourhood
431,Husseiniya,35.358889,40.151111,7,Syria,Husseiniya
432,Qahtani,35.986833,38.921672,3,Syria,Qahtani
433,"Ar Raqqah, near al Nour mosque",35.955556,38.9925,3,Syria,"Ar Raqqah, near al Nour mosque"
434,Ar Raqqah: Al Mansour,35.950774,39.0112495,1,Syria,Ar Raqqah: Al Mansour
435,Hamra Buwaitiya,35.933056,39.128611,2,Syria,Hamra Buwaitiya
436,Khan Touman,36.1177702,37.0513916,2,Syria,Khan Touman
437,Al Baaj,36.0426,41.71632,20,Iraq,Al Baaj
438,Akashat or Saada,33.6696398,39.9680901,5,Iraq,Akashat or Saada
439,Tall Aswad,36.29197,37.98854,7,Syria,Tall Aswad
440,Al Basira,35.15618,40.42716,2,Syria,Al Basira
441,Mosul: Al-Mithaq,36.3260517,43.2006454,5,Iraq,Mosul: Al-Mithaq
442,"Masloum Tahtani, Deir ez-Zor",35.3077313,40.257403,3,Syria,"Masloum Tahtani, Deir ez-Zor"
443,Al Tabani,35.605833,39.818611,3,Syria,Al Tabani
444,Ar Raqqah [887a],35.9505639,39.0094148,1,Syria,Ar Raqqah [887a]
445,Mosul: 17 July,36.3667014,43.0854607,3,Iraq,Mosul: 17 July
446,"Mosul: Bab Laksh, behind Watan school",36.339728,43.132471,20,Iraq,"Mosul: Bab Laksh, behind Watan school"
447,Khisham town,35.3020098,40.2914143,4,Syria,Khisham town
448,Ar Raqqah: Al Dariya near Tariq Ibn Zaid school,35.941703,39.004649,1,Syria,Ar Raqqah: Al Dariya near Tariq Ibn Zaid school
449,Mosul: Tanak,36.3364235,43.0626297,74,Iraq,Mosul: Tanak
450,Ghaytun,36.4858147,37.3050857,8,Syria,Ghaytun
451,Tabaqah: First neighbourhood,35.8295049,38.5360909,4,Syria,Tabaqah: First neighbourhood
452,Kashkiyah,34.81,40.694722,0,Syria,Kashkiyah
453,Mosul: Tawafah,36.335054,43.120978,12,Iraq,Mosul: Tawafah
454,Sagheer Shamiya,35.477377,39.98723,3,Syria,Sagheer Shamiya
455,Mosul: East ,36.368483,43.184281,15,Iraq,Mosul: East 
456,Ar Raqqah: near Al Sa'a roundabout,35.946408,39.013233,1,Syria,Ar Raqqah: near Al Sa'a roundabout
457,Baaj,36.0426,41.71632,46,Iraq,Baaj
458,Hamra Nasser,35.91555,39.1675,19,Syria,Hamra Nasser
459,"Al Wehda, Mosul",36.34585235,43.09857692,7,Iraq,"Al Wehda, Mosul"
460,Al-Thawrah (Tabaqah),35.8373,38.54811,266,Syria,Al-Thawrah (Tabaqah)
461,Mahkan town,34.974444,40.485556,1,Syria,Mahkan town
462,Tayba,35.08895,38.91597,3,Syria,Tayba
463,M’eizileh,34.6163981,40.4576683,2,Syria,M’eizileh
464,Mosul: Ibn Senna Hospital,36.3534304,43.1174326,4,Iraq,Mosul: Ibn Senna Hospital
465,Mosul: Mamoon,36.3119091,43.1085491,26,Iraq,Mosul: Mamoon
466,Ar Raqqah: near Imam al-Nawawi mosque,35.95719,38.99966,1,Syria,Ar Raqqah: near Imam al-Nawawi mosque
467,Ar Raqqah: Dir'iya,35.947222,38.991389,3,Syria,Ar Raqqah: Dir'iya
468,Ar Raqqah: Firdous,35.954025,39.006268,17,Syria,Ar Raqqah: Firdous
469,Hamra Buweitiya,35.9378146,39.1255975,7,Syria,Hamra Buweitiya
470,Al Shmmatia,35.4710166,39.9351239,1,Syria,Al Shmmatia
471,Al Meshrab,35.5207354,39.887538,4,Syria,Al Meshrab
472,Ar Raqqah: Al Nour Mosque,35.955556,38.9925,14,Syria,Ar Raqqah: Al Nour Mosque
473,Shumeteya,35.470833,39.935556,3,Syria,Shumeteya
474,A`zaz,36.586273,37.04739,1,Syria,A`zaz
475,Ar Raqqah: Al Idkar,35.9505639,39.0094148,1,Syria,Ar Raqqah: Al Idkar
476,Maarat al Numan,35.647038,36.679174,3,Syria,Maarat al Numan
477,Haymar Labda,36.3888493,37.9762173,4,Syria,Haymar Labda
478,Ar Raqqah: Hadiqa al-Bayda,35.960556,38.9975,1,Syria,Ar Raqqah: Hadiqa al-Bayda
479,"Al Munjem area, Al Tabani",35.605833,39.818611,4,Syria,"Al Munjem area, Al Tabani"
480,Qorya,34.96,40.55,2,Syria,Qorya
481,Tabaqah: al Bahrari school,35.849167,38.545556,1,Syria,Tabaqah: al Bahrari school
482,Mosul: Arabi and Cairo petrol station,36.411958,43.1138706,2,Iraq,Mosul: Arabi and Cairo petrol station
483,Ar Raqqah: Old Cultural disctrict,35.951112,39.009489,1,Syria,Ar Raqqah: Old Cultural disctrict
484,Husaybah,34.391117,40.986986,6,Iraq,Husaybah
485,Ar Raqqah: Al Dariiya,35.947222,38.991389,1,Syria,Ar Raqqah: Al Dariiya
486,Mosul: Mazari / Farms,36.32211,43.1832218,17,Iraq,Mosul: Mazari / Farms
487,Jadid Bakara,35.243656,40.366945,11,Syria,Jadid Bakara
488,Kasrat Srour,35.8725,39.075,3,Syria,Kasrat Srour
489,Ar Raqqah: Al Thakana ,35.9478905,39.0067863,4,Syria,Ar Raqqah: Al Thakana 
490,Ar Raqqah: Sikat al Qitar street,35.965633,39.00552,2,Syria,Ar Raqqah: Sikat al Qitar street
491,Deir ez-Zor: Shawakj,35.3353632,40.1380348,5,Syria,Deir ez-Zor: Shawakj
492,Ar Raqqah: Jumaili,35.95013,39.019034,1,Syria,Ar Raqqah: Jumaili
493,Marbaʼīyah,35.2726894,40.2245951,2,Syria,Marbaʼīyah
494,Atarib,36.1375975,36.8284035,0,Syria,Atarib
495,Mosul: Noor and Ta’mim,36.3638331,43.1857967,15,Iraq,Mosul: Noor and Ta’mim
496,Al Ghadban,35.9718242,38.4832191,4,Syria,Al Ghadban
497,`Ayn al `Arus,36.6703466,38.9346886,15,Syria,`Ayn al `Arus
498,Al Hadhad,36.5729748,38.0092192,10,Syria,Al Hadhad
499,Ma're,36.4824505,37.1974754,7,Syria,Ma're
500,Abu Khashab junction,35.93632,40.033665,2,Syria,Abu Khashab junction
501,Deir ez-Zor,35.3353632,40.1380348,83,Syria,Deir ez-Zor
502,Kasrat Faraj,35.9096301,38.9961433,23,Syria,Kasrat Faraj
503,Al `A'rīma,36.4718911,37.7218151,4,Syria,Al `A'rīma
504,Mosul: Old City ,36.34075,43.126911,78,Iraq,Mosul: Old City 
505,Mosul: Al Hermat (nr al Haque mosque),36.323338,43.112861,3,Iraq,Mosul: Al Hermat (nr al Haque mosque)
506,Ar Raqqah: Al Qitar/Al Bustan,35.964604,38.9914951,1,Syria,Ar Raqqah: Al Qitar/Al Bustan
507,Salhabiya,35.95149,38.78487,9,Syria,Salhabiya
508,Ar Raqqah: Al Toubb al Hadith,35.9525,39.002222,4,Syria,Ar Raqqah: Al Toubb al Hadith
509,Janat,36.06078,41.00145,6,Syria,Janat
